FID	IID	Guides_individual_petal_Jas	Petal_LW_ratio_UV_pictures_Jas	Guides_3_petals_Jas	Guides_individual_petal_Haf	Petal_LW_ratio_UV_pictures_Haf	Guides_3_petals_Haf	DTF_corrected	DTF_deduced	late_early	SLA_mm2_per_mg	Leaf_total_N	Leaf_total_C	C_N_ratio
ARG0076	ARG0076	NA	NA	NA	NA	NA	NA	119	119	0	2103.72	2.528920184	38.96216652	15.40664145
ARG0077	ARG0077	0.27401777	2.194121357	0.266735832	0.368472987	2.253364664	0.384728662	121	121	0	2629.81	3.961798247	41.15191439	10.38718072
ARG0078	ARG0078	NA	NA	NA	NA	NA	NA	128	128	0	2031.27	2.800307866	41.18097978	14.70587584
ARG0079	ARG0079	NA	NA	NA	NA	NA	NA	123	123	0	2153.89	3.847469717	42.32387438	11.0004438
ARG0080	ARG0080	NA	NA	NA	NA	NA	NA	123	123	0	2261.24	4.403792329	41.16418801	9.347440781
ARG0081	ARG0081	0.323578841	3.343918352	0.297281413	0.411071954	3.238226068	0.368901379	49	49	1	2123.05	5.646527148	42.40080542	7.509182956
ARG0082	ARG0082	0.273961472	4.8125	0.3288409	0.342056667	4.092212016	0.40823196	118	118	0	2251.27	3.696894076	42.06310072	11.3779567
ARG0083	ARG0083	NA	NA	NA	NA	NA	NA	NA	122	0	NA	2.931054232	38.5195486	13.14187509
ARG0084	ARG0084	NA	NA	NA	NA	NA	NA	119	119	0	1641.23	3.942576613	42.21690962	10.70794908
ARG0085	ARG0085	0.240819934	2.722738327	0.272879189	0.356236954	2.480662218	0.383271402	118	118	0	1738.63	3.115789412	38.23497304	12.27135984
ARG0086	ARG0086	NA	NA	NA	NA	NA	NA	128	128	0	1568.2	2.647252471	40.77595379	15.40312238
ARG0087N	ARG0087N	NA	NA	NA	NA	NA	NA	124	124	0	1830.45	2.899	40.488	13.96521745
ARG0088	ARG0088	NA	NA	NA	NA	NA	NA	139	139	0	2197.97	3.453021757	40.7904126	11.81296136
ARG0089	ARG0089	NA	NA	NA	NA	NA	NA	NA	123	0	1771.74	3.135937492	41.71173922	13.30120238
ARG0090	ARG0090	NA	NA	NA	NA	NA	NA	110	110	0	1674.47	3.339872101	39.85078841	11.93183068
ARG0091	ARG0091	NA	NA	NA	NA	NA	NA	128	128	0	1518.65	3.812194471	41.38355056	10.85557174
ARG0092	ARG0092	NA	NA	NA	NA	NA	NA	128	128	0	1548.9	3.601758335	38.8369116	10.78276441
