sv_name	sv_species_name	trait	pvalue
ann15.01	annuus_ann15.01	Leaf_rectangular	0.222
ann16.01	annuus_ann16.01	Leaf_rectangular	0.356
ann16.02	annuus_ann16.02	Leaf_rectangular	0.132
ann17.01	annuus_ann17.01	Leaf_rectangular	0.796
ann01.01	annuus_ann01.01	Leaf_shape_index_external_I	0.315
ann05.01	annuus_ann05.01	Leaf_shape_index_external_I	0.727
ann11.01	annuus_ann11.01	Leaf_shape_index_external_I	0.72
ann13.01	annuus_ann13.01	Leaf_shape_index_external_I	0.551
ann13.02	annuus_ann13.02	Leaf_shape_index_external_I	0.961
ann14.01	annuus_ann14.01	Leaf_shape_index_external_I	0.947
ann14.02	annuus_ann14.02	Leaf_shape_index_external_I	0.453
ann15.01	annuus_ann15.01	Leaf_shape_index_external_I	0.768
ann16.01	annuus_ann16.01	Leaf_shape_index_external_I	0.875
ann16.02	annuus_ann16.02	Leaf_shape_index_external_I	0.115
ann17.01	annuus_ann17.01	Leaf_shape_index_external_I	0.105
ann01.01	annuus_ann01.01	Leaf_shape_index_external_II	0.646
ann05.01	annuus_ann05.01	Leaf_shape_index_external_II	0.318
ann11.01	annuus_ann11.01	Leaf_shape_index_external_II	0.566
ann13.01	annuus_ann13.01	Leaf_shape_index_external_II	0.533
ann13.02	annuus_ann13.02	Leaf_shape_index_external_II	0.995
ann14.01	annuus_ann14.01	Leaf_shape_index_external_II	0.914
ann14.02	annuus_ann14.02	Leaf_shape_index_external_II	0.147
ann15.01	annuus_ann15.01	Leaf_shape_index_external_II	0.0871
ann16.01	annuus_ann16.01	Leaf_shape_index_external_II	0.827
ann16.02	annuus_ann16.02	Leaf_shape_index_external_II	0.168
ann17.01	annuus_ann17.01	Leaf_shape_index_external_II	0.038
ann01.01	annuus_ann01.01	Leaf_shape_index_internal	0.793
ann05.01	annuus_ann05.01	Leaf_shape_index_internal	0.593
ann11.01	annuus_ann11.01	Leaf_shape_index_internal	0.35
ann13.01	annuus_ann13.01	Leaf_shape_index_internal	0.595
ann13.02	annuus_ann13.02	Leaf_shape_index_internal	0.947
ann14.01	annuus_ann14.01	Leaf_shape_index_internal	0.115
ann14.02	annuus_ann14.02	Leaf_shape_index_internal	0.765
ann15.01	annuus_ann15.01	Leaf_shape_index_internal	0.317
ann16.01	annuus_ann16.01	Leaf_shape_index_internal	0.505
ann16.02	annuus_ann16.02	Leaf_shape_index_internal	0.268
ann17.01	annuus_ann17.01	Leaf_shape_index_internal	0.0929
ann01.01	annuus_ann01.01	Leaf_total_C	0.335
ann05.01	annuus_ann05.01	Leaf_total_C	0.319
ann11.01	annuus_ann11.01	Leaf_total_C	0.106
ann13.01	annuus_ann13.01	Leaf_total_C	0.99
ann13.02	annuus_ann13.02	Leaf_total_C	0.198
ann14.01	annuus_ann14.01	Leaf_total_C	0.0862
ann14.02	annuus_ann14.02	Leaf_total_C	0.772
ann15.01	annuus_ann15.01	Leaf_total_C	0.573
ann16.01	annuus_ann16.01	Leaf_total_C	0.102
ann16.02	annuus_ann16.02	Leaf_total_C	0.288
ann17.01	annuus_ann17.01	Leaf_total_C	0.456
ann01.01	annuus_ann01.01	Leaf_total_N	0.88
ann05.01	annuus_ann05.01	Leaf_total_N	0.654
ann11.01	annuus_ann11.01	Leaf_total_N	0.408
ann13.01	annuus_ann13.01	Leaf_total_N	0.0369
ann13.02	annuus_ann13.02	Leaf_total_N	0.529
ann14.01	annuus_ann14.01	Leaf_total_N	0.162
ann14.02	annuus_ann14.02	Leaf_total_N	0.464
ann15.01	annuus_ann15.01	Leaf_total_N	0.139
ann16.01	annuus_ann16.01	Leaf_total_N	0.239
ann16.02	annuus_ann16.02	Leaf_total_N	0.479
ann17.01	annuus_ann17.01	Leaf_total_N	0.207
ann01.01	annuus_ann01.01	Leaf_width_mid-height	0.626
ann05.01	annuus_ann05.01	Leaf_width_mid-height	0.91
ann11.01	annuus_ann11.01	Leaf_width_mid-height	0.57
ann13.01	annuus_ann13.01	Leaf_width_mid-height	0.458
ann13.02	annuus_ann13.02	Leaf_width_mid-height	0.627
ann14.01	annuus_ann14.01	Leaf_width_mid-height	0.233
ann14.02	annuus_ann14.02	Leaf_width_mid-height	0.117
ann15.01	annuus_ann15.01	Leaf_width_mid-height	0.783
ann16.01	annuus_ann16.01	Leaf_width_mid-height	0.54
ann16.02	annuus_ann16.02	Leaf_width_mid-height	0.798
ann17.01	annuus_ann17.01	Leaf_width_mid-height	0.111
ann01.01	annuus_ann01.01	Leaf_width_widest_pos	0.801
ann05.01	annuus_ann05.01	Leaf_width_widest_pos	0.817
ann11.01	annuus_ann11.01	Leaf_width_widest_pos	0.0417
ann13.01	annuus_ann13.01	Leaf_width_widest_pos	0.173
ann13.02	annuus_ann13.02	Leaf_width_widest_pos	0.739
ann14.01	annuus_ann14.01	Leaf_width_widest_pos	0.89
ann14.02	annuus_ann14.02	Leaf_width_widest_pos	0.556
ann15.01	annuus_ann15.01	Leaf_width_widest_pos	0.0925
ann16.01	annuus_ann16.01	Leaf_width_widest_pos	0.0455
ann16.02	annuus_ann16.02	Leaf_width_widest_pos	0.232
ann17.01	annuus_ann17.01	Leaf_width_widest_pos	0.369
ann01.01	annuus_ann01.01	Ligule_length	0.423
ann05.01	annuus_ann05.01	Ligule_length	0.0434
ann11.01	annuus_ann11.01	Ligule_length	0.195
ann13.01	annuus_ann13.01	Ligule_length	0.351
ann13.02	annuus_ann13.02	Ligule_length	0.374
