bam	gvcf	name	species	population	is_wild	project
/project/rpp-rbruskie/jslegare/bam/merged/merged_ARG0275.bam	/scratch/jslegare/data/gwas/variants/ARG0275.bam.g.vcf.gz	ARG0275	Arg	ARG_28	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_ARG0294.bam	/scratch/jslegare/data/gwas/variants/ARG0294.bam.g.vcf.gz	ARG0294	Arg	ARG_30	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_HK24_16_01_R_020.bam	/scratch/jslegare/data/gwas/variants/HK24_16_01_R_020.bam.g.vcf.gz	HK24_16_01_R_020	Ano	SRD	wild	Hyb_species
/project/rpp-rbruskie/jslegare/bam/merged/merged_HK24_16_01_R_028.bam	/scratch/jslegare/data/gwas/variants/HK24_16_01_R_028.bam.g.vcf.gz	HK24_16_01_R_028	Ano	SRD	wild	Hyb_species
/project/rpp-rbruskie/jslegare/bam/merged/merged_HK24_16_01_R_029.bam	/scratch/jslegare/data/gwas/variants/HK24_16_01_R_029.bam.g.vcf.gz	HK24_16_01_R_029	Ano	SRD	wild	Hyb_species
/project/rpp-rbruskie/jslegare/bam/merged/merged_HK24_16_01_R_034.bam	/scratch/jslegare/data/gwas/variants/HK24_16_01_R_034.bam.g.vcf.gz	HK24_16_01_R_034	Ano	SRD	wild	Hyb_species
/project/rpp-rbruskie/jslegare/bam/merged/merged_HK24_16_01_R_076.bam	/scratch/jslegare/data/gwas/variants/HK24_16_01_R_076.bam.g.vcf.gz	HK24_16_01_R_076	Ano	SRD	wild	Hyb_species
/project/rpp-rbruskie/jslegare/bam/merged/merged_HK24_16_01_R_091.bam	/scratch/jslegare/data/gwas/variants/HK24_16_01_R_091.bam.g.vcf.gz	HK24_16_01_R_091	Ano	SRD	wild	Hyb_species
/project/rpp-rbruskie/jslegare/bam/merged/merged_HK24_16_01_W_066.bam	/scratch/jslegare/data/gwas/variants/HK24_16_01_W_066.bam.g.vcf.gz	HK24_16_01_W_066	Ano	SRD	wild	Hyb_species
/project/rpp-rbruskie/jslegare/bam/merged/merged_HK24_16_01_W_070.bam	/scratch/jslegare/data/gwas/variants/HK24_16_01_W_070.bam.g.vcf.gz	HK24_16_01_W_070	Ano	SRD	wild	Hyb_species
