name	region	color
ARG0187	6a	#984EA3
ARG0188	6a	#FFFF33
ARG0189	6a	#984EA3
ARG0190	6a	#984EA3
ARG0191	6a	#984EA3
ARG0192	6a	#984EA3
ARG0193N	6a	#984EA3
ARG0194	6a	#984EA3
ARG0195	6a	#984EA3
ARG0196	6a	#984EA3
ARG0197	6a	#FF7F00
ARG0198	6a	#984EA3
ARG0199	6a	#984EA3
ARG0200	6a	#984EA3
ARG0201	6a	#984EA3
ARG0202	6a	#984EA3
ARG0203	6a	#984EA3
ARG0204	6a	#984EA3
ARG0205	6a	#984EA3
ARG0206	6a	#984EA3
ARG0207	6a	#984EA3
ARG0208	6a	#984EA3
ARG0209	6a	#984EA3
ARG0210	6a	#984EA3
ARG0211	6a	#984EA3
ARG0212	6a	#984EA3
ARG0213	6a	#984EA3
ARG0214	6a	#984EA3
ARG0215	6a	#984EA3
ARG0216	6a	#984EA3
ARG0217	6a	#984EA3
ARG0218	6a	#984EA3
ARG0219	6a	#984EA3
ARG0220	6a	#984EA3
ARG0221	6a	#984EA3
ARG0222	6a	#984EA3
ARG0223	6a	#984EA3
ARG0224	6a	#984EA3
ARG0225N	6a	#984EA3
ARG0226N	6a	#984EA3
ARG0227	6a	#984EA3
ARG0228	6a	#984EA3
ARG0229	6a	#984EA3
ARG0230N	6a	#984EA3
ARG0231	6a	#984EA3
ARG0232	6a	#984EA3
ARG0233	6a	#984EA3
ARG0234	6a	#984EA3
ARG0235	6a	#984EA3
ARG0236	6a	#984EA3
ARG0237	6a	#984EA3
ARG0238	6a	#984EA3
ARG0239	6a	#984EA3
ARG0240	6a	#984EA3
ARG0241	6a	#984EA3
ARG0242	6a	#984EA3
ARG0243	6a	#984EA3
ARG0244	6a	#984EA3
ARG0245	6a	#984EA3
ARG0246	6a	#984EA3
ARG0247	6a	#984EA3
ARG0248	6a	#984EA3
ARG0249	6a	#984EA3
ARG0250	6a	#984EA3
ARG0251	6a	#984EA3
ARG0252	6a	#984EA3
ARG0253	6a	#984EA3
ARG0254	6a	#984EA3
ARG0255	6a	#984EA3
ARG0256	6a	#984EA3
ARG0257	6a	#984EA3
ARG0258	6a	#984EA3
ARG0259	6a	#984EA3
ARG0260	6a	#984EA3
ARG0261	6a	#984EA3
ARG0262	6a	#984EA3
ARG0263	6a	#984EA3
ARG0264	6a	#984EA3
ARG0265	6a	#984EA3
ARG0266N	6a	#984EA3
ARG0267N	6a	#984EA3
ARG0268	6a	#984EA3
ARG0269	6a	#984EA3
ARG0270	6a	#984EA3
ARG0271	6a	#984EA3
ARG0272	6a	#984EA3
ARG0273	6a	#984EA3
ARG0274	6a	#984EA3
ARG0275	6a	#984EA3
ARG0276	6a	#984EA3
ARG0277N	6a	#984EA3
ARG0278N	6a	#984EA3
ARG0279	6a	#984EA3
ARG0280	6a	#984EA3
ARG0281	6a	#984EA3
ARG0282	6a	#984EA3
ARG0283	6a	#984EA3
ARG0284	6a	#984EA3
ARG0285	6a	#984EA3
ARG0286	6a	#984EA3
ARG0287	6a	#984EA3
ARG0288	6a	#984EA3
ARG0289	6a	#984EA3
ARG0290	6a	#984EA3
ARG0291	6a	#984EA3
ARG0292	6a	#984EA3
ARG0293	6a	#984EA3
ARG0294	6a	#984EA3
ARG0295	6a	#984EA3
ARG0296	6a	#984EA3
ARG0297	6a	#984EA3
ARG0298N	6a	#984EA3
ARG0299	6a	#984EA3
ARG0300	6a	#FF7F00
ARG0001	10a	#FFFF33
ARG0002	10a	#FFFF33
ARG0003	10a	#FFFF33
ARG0004	10a	#FFFF33
ARG0005	10a	#FFFF33
ARG0006	10a	#FFFF33
ARG0007	10a	#FFFF33
ARG0008	10a	#FFFF33
ARG0009	10a	#FFFF33
ARG0010	10a	#FFFF33
ARG0011	10a	#FFFF33
ARG0012	10a	#FFFF33
ARG0013	10a	#FFFF33
ARG0014	10a	#FFFF33
ARG0015	10a	#FFFF33
ARG0016	10a	#FFFF33
ARG0017	10a	#FFFF33
ARG0018	10a	#FFFF33
ARG0019	10a	#FFFF33
ARG0020	10a	#FFFF33
ARG0021	10a	#FFFF33
ARG0022	10a	#FFFF33
ARG0023	10a	#FFFF33
ARG0024	10a	#FFFF33
ARG0025	10a	#FFFF33
ARG0026	10a	#FFFF33
ARG0027	10a	#FFFF33
ARG0028	10a	#FFFF33
ARG0029	10a	#FFFF33
ARG0030	10a	#FFFF33
ARG0031	10a	#FFFF33
ARG0032	10a	#FFFF33
ARG0033	10a	#FFFF33
ARG0034	10a	#FFFF33
ARG0035	10a	#FFFF33
ARG0036	10a	#FFFF33
ARG0037	10a	#FFFF33
ARG0038	10a	#FFFF33
ARG0039	10a	#FFFF33
ARG0040	10a	#FFFF33
ARG0041	10a	#FFFF33
ARG0042	10a	#FFFF33
ARG0043	10a	#FFFF33
ARG0044N	10a	#FFFF33
ARG0045	10a	#FFFF33
ARG0046	10a	#FFFF33
ARG0047	10a	#FFFF33
ARG0048N	10a	#FFFF33
ARG0049	10a	#FFFF33
ARG0050	10a	#FFFF33
ARG0051	10a	#FFFF33
ARG0052	10a	#FFFF33
ARG0053	10a	#FFFF33
ARG0054	10a	#FFFF33
ARG0055	10a	#FFFF33
ARG0056	10a	#FFFF33
ARG0057	10a	#FFFF33
ARG0058	10a	#FFFF33
ARG0059	10a	#FFFF33
ARG0060	10a	#FFFF33
ARG0061	10a	#FFFF33
ARG0062N	10a	#FFFF33
ARG0063	10a	#FFFF33
ARG0064	10a	#FFFF33
ARG0065	10a	#FFFF33
ARG0066	10a	#FFFF33
ARG0067	10a	#FFFF33
ARG0068	10a	#FFFF33
ARG0069	10a	#FFFF33
ARG0070	10a	#FFFF33
ARG0071	10a	#FFFF33
ARG0072	10a	#FFFF33
ARG0073	10a	#FFFF33
ARG0074	10a	#FFFF33
ARG0075	10a	#FFFF33
ARG0076	10a	#FFFF33
ARG0077	10a	#FFFF33
ARG0078	10a	#FFFF33
ARG0079	10a	#FFFF33
ARG0080	10a	#FFFF33
ARG0081	10a	#FFFF33
ARG0082	10a	#FFFF33
ARG0083	10a	#FFFF33
ARG0084	10a	#FFFF33
ARG0085	10a	#FFFF33
ARG0086	10a	#FFFF33
ARG0087N	10a	#FFFF33
ARG0088	10a	#FFFF33
ARG0089	10a	#FFFF33
ARG0090	10a	#FFFF33
ARG0091	10a	#FFFF33
ARG0092	10a	#FFFF33
ARG0093	10a	#FF7F00
ARG0094	10a	#FFFF33
ARG0095	10a	#FF7F00
ARG0096	10a	#984EA3
ARG0097	10a	#FF7F00
ARG0098	10a	#FF7F00
ARG0099	10a	#FFFF33
ARG0100	10a	#FF7F00
ARG0101	10a	#984EA3
ARG0102	10a	#FFFF33
ARG0103	10a	#FF7F00
ARG0104	10a	#FF7F00
ARG0105	10a	#984EA3
ARG0106	10a	#FF7F00
ARG0107	10a	#FFFF33
ARG0108	10a	#FFFF33
ARG0109	10a	#FF7F00
ARG0110	10a	#FFFF33
ARG0111	10a	#984EA3
ARG0112	10a	#FF7F00
ARG0113	10a	#FF7F00
ARG0114	10a	#984EA3
ARG0115	10a	#984EA3
ARG0116	10a	#984EA3
ARG0117	10a	#984EA3
ARG0118	10a	#FFFF33
ARG0119	10a	#984EA3
ARG0120	10a	#FF7F00
ARG0121	10a	#FF7F00
ARG0122	10a	#FF7F00
ARG0123	10a	#FF7F00
ARG0124	10a	#FF7F00
ARG0125	10a	#FF7F00
ARG0126	10a	#FF7F00
ARG0127	10a	#FF7F00
ARG0128	10a	#FF7F00
ARG0129	10a	#984EA3
ARG0130	10a	#FF7F00
ARG0131	10a	#FF7F00
ARG0132	10a	#FF7F00
ARG0133	10a	#FF7F00
ARG0134N	10a	#FF7F00
ARG0135	10a	#FFFF33
ARG0136N	10a	#FFFF33
ARG0137	10a	#984EA3
ARG0138	10a	#984EA3
ARG0139	10a	#FFFF33
ARG0140	10a	#FFFF33
ARG0141	10a	#FFFF33
ARG0142	10a	#FFFF33
ARG0143	10a	#FFFF33
ARG0144	10a	#FFFF33
