name	region	color
PET0583	7a	#E41A1C
PET0584	7a	#E41A1C
PET0586	7a	#E41A1C
PET0587	7a	#E41A1C
PET0588	7a	#E41A1C
PET0589	7a	#4DAF4A
PET0590	7a	#4DAF4A
PET0591	7a	#4DAF4A
PET0592	7a	#4DAF4A
PET0593	7a	#4DAF4A
PET0595	7a	#4DAF4A
PET0596	7a	#4DAF4A
PET0597	7a	#4DAF4A
PET0598	7a	#4DAF4A
PET0599	7a	#E41A1C
PET0600	7a	#E41A1C
PET0602	7a	#E41A1C
PET0603	7a	#E41A1C
PET0604	7a	#E41A1C
PET0605	7a	#E41A1C
PET0606	7a	#E41A1C
PET0607	7a	#E41A1C
PET0431	9a	#4DAF4A
PET0432	9a	#4DAF4A
PET0433	9a	#4DAF4A
PET0434	9a	#4DAF4A
PET0435	9a	#4DAF4A
PET0436	9a	#4DAF4A
PET0437	9a	#4DAF4A
PET0438	9a	#4DAF4A
PET0439	9a	#4DAF4A
PET0440	9a	#4DAF4A
PET0441	9a	#4DAF4A
PET0442	9a	#4DAF4A
PET0443	9a	#4DAF4A
PET0444	9a	#4DAF4A
PET0445	9a	#4DAF4A
PET0446	9a	#4DAF4A
PET0447	9a	#4DAF4A
PET0448	9a	#4DAF4A
PET0449	9a	#4DAF4A
PET0450	9a	#4DAF4A
PET0451	9a	#4DAF4A
PET0452	9a	#377EB8
PET0453N	9a	#4DAF4A
PET0454N	9a	#377EB8
PET0455	9a	#4DAF4A
PET0456	9a	#4DAF4A
PET0457	9a	#4DAF4A
PET0458	9a	#4DAF4A
PET0459N	9a	#4DAF4A
PET0460N	9a	#4DAF4A
PET0461	9a	#4DAF4A
PET0462	9a	#377EB8
PET0463	9a	#E41A1C
PET0464	9a	#377EB8
PET0465	9a	#4DAF4A
PET0466	9a	#377EB8
PET0467	9a	#4DAF4A
PET0468	9a	#4DAF4A
PET0469	9a	#4DAF4A
PET0470	9a	#E41A1C
PET0471	9a	#E41A1C
PET0472	9a	#E41A1C
PET0473N	9a	#377EB8
PET0474N	9a	#377EB8
PET0475	9a	#4DAF4A
PET0476	9a	#E41A1C
PET0477	9a	#4DAF4A
PET0478	9a	#377EB8
PET0479	9a	#377EB8
PET0480	9a	#377EB8
PET0481	9a	#E41A1C
PET0482	9a	#377EB8
PET0483	9a	#4DAF4A
PET0484	9a	#4DAF4A
PET0485	9a	#4DAF4A
PET0486	9a	#4DAF4A
PET0487	9a	#4DAF4A
PET0488	9a	#4DAF4A
PET0489	9a	#377EB8
PET0490	9a	#377EB8
PET0491	9a	#4DAF4A
PET0492	9a	#4DAF4A
PET0493	9a	#377EB8
PET0494	9a	#4DAF4A
PET0495	9a	#4DAF4A
PET0496	9a	#4DAF4A
PET0497	9a	#4DAF4A
PET0498	9a	#4DAF4A
PET0499	9a	#377EB8
PET0500	9a	#377EB8
PET0501	9a	#E41A1C
PET0502	9a	#377EB8
PET0503	9a	#377EB8
PET0504	9a	#E41A1C
PET0505	9a	#377EB8
PET0506	9a	#377EB8
PET0507	9a	#E41A1C
PET0508	9a	#377EB8
