INDIVIDUAL	POPULATION_NAt	DTF	SLA
ANN1234	ANN_44	50	27.88054917
ANN1235	ANN_44	48	33.53243826
ANN1236	ANN_44	61	23.09015834
ANN1237	ANN_44	51	19.87730486
ANN1238	ANN_44	52	25.74022317
ANN1239	ANN_44	52	21.78855811
ANN1240	ANN_44	55	19.94148979
ANN1241	ANN_45	53	43.48071302
ANN1242	ANN_45	43	24.20003764
ANN1243	ANN_45	50	13.94713524
ANN1244	ANN_45	54	27.85959916
ANN1245	ANN_45	44	29.45932943
ANN1246	ANN_45	51	13.41626119
ANN1247	ANN_45	51	26.80104309
ANN1248	ANN_45	54	30.15983436
ANN1249	ANN_45	44	22.81911552
ANN1250	ANN_45	48	23.50505892
ANN1251	ANN_46	51	25.15809044
ANN1252	ANN_46	61	24.80387513
ANN1253	ANN_46	54	22.82659725
ANN1254	ANN_46	55	15.84493409
ANN1255	ANN_46	50	23.72674528
ANN1256	ANN_46	55	18.25355469
ANN1257	ANN_46	54	23.70792432
ANN1258	ANN_46	50	32.36763123
ANN1259	ANN_46	48	30.34818179
ANN1260	ANN_46	48	19.56007346
ANN1261	ANN_47	45	26.60877247
ANN1262	ANN_47	57	22.22069426
ANN1263	ANN_47	48	23.33993615
ANN1264	ANN_47	50	25.18415867
ANN1265	ANN_47	48	26.84514821
ANN1266	ANN_47	48	28.7685376
ANN1267	ANN_47	54	17.19304106
ANN1268	ANN_47	57	20.328166
ANN1269	ANN_47	48	24.12869767
ANN1270	ANN_47	43	26.42003614
ANN1271	ANN_48	NA	17.71651929
ANN1272	ANN_48	NA	17.47629575
ANN1273	ANN_48	NA	14.17428456
ANN1274	ANN_48	131	16.32047901
ANN1275	ANN_48	NA	16.74885954
ANN1276	ANN_48	NA	16.34660106
ANN1277	ANN_48	NA	14.36483924
ANN1278	ANN_48	NA	15.76099094
ANN1279	ANN_48	NA	20.31057318
ANN1280	ANN_48	NA	17.91214564
ANN1281	ANN_49	NA	39.82732994
ANN1282	ANN_49	NA	NA
ANN1283	ANN_49	NA	12.45278701
ANN1284	ANN_49	NA	23.65421101
ANN1285	ANN_49	NA	19.07074196
ANN1286	ANN_49	130	18.19843901
ANN1287	ANN_49	NA	NA
ANN1288	ANN_49	131	13.29909153
ANN1289	ANN_49	NA	22.0260559
ANN1290	ANN_49	NA	17.1589635
ANN1291	ANN_50	64	22.85776003
ANN1292	ANN_50	64	19.04447344
ANN1293	ANN_50	54	22.44018152
ANN1294	ANN_50	64	25.30019509
ANN1295	ANN_50	68	30.32102418
ANN1296	ANN_50	72	20.9502442
ANN1297	ANN_50	98	20.16165157
ANN1298	ANN_50	59	18.87582659
ANN1299	ANN_50	72	19.5021082
ANN1300	ANN_50	68	20.5550806
ANN1301	ANN_51	67	20.70570794
ANN1302	ANN_51	76	24.84540402
ANN1303	ANN_51	103	14.41497745
ANN1304	ANN_51	99	26.88433756
ANN1305	ANN_51	90	18.85982086
ANN1306	ANN_51	65	19.85246633
ANN1307	ANN_51	131	15.25292376
ANN1308	ANN_51	68	22.05696174
ANN1309	ANN_51	56	24.66872666
ANN1310	ANN_51	95	20.70912697
ANN1311	ANN_52	68	14.94976569
ANN1312	ANN_52	61	26.64158403
ANN1313	ANN_52	58	24.85012634
ANN1314	ANN_52	56	21.33314137
ANN1315	ANN_52	61	30.58512611
ANN1316	ANN_52	68	16.43430485
ANN1317	ANN_52	56	23.06107044
ANN1318	ANN_52	71	22.53833392
ANN1319	ANN_52	54	26.30809024
ANN1320	ANN_52	69	NA
ANN1321	ANN_53	58	14.42940409
ANN1322	ANN_53	33	20.25250357
ANN1323	ANN_53	61	16.61483603
ANN1324	ANN_53	54	23.55713668
ANN1325	ANN_53	65	28.94361572
ANN1326	ANN_53	64	29.95717995
ANN1327	ANN_53	55	26.93346241
ANN1328	ANN_53	50	20.86436841
ANN1329	ANN_53	55	26.48042899
ANN1330	ANN_53	51	26.68272974
ANN1331	ANN_54	68	15.7323064
ANN1332	ANN_54	61	16.18072597
ANN1333	ANN_54	59	21.52429837
ANN1334	ANN_54	58	22.55309178
ANN1335	ANN_54	68	19.63345749
ANN1336	ANN_54	59	19.22904983
ANN1337	ANN_54	75	18.39670841
ANN1338	ANN_54	56	23.71265091
ANN1339	ANN_54	64	25.13822197
ANN1340	ANN_54	56	19.32313708
ANN1341	ANN_55	55	22.59948659
ANN1342	ANN_55	55	23.18811727
ANN1343	ANN_55	55	29.39445975
ANN1344	ANN_55	54	25.43255268
ANN1345	ANN_55	49	13.57355265
ANN1346	ANN_55	50	24.57151246
ANN1347	ANN_55	58	17.66678664
ANN1348	ANN_55	52	21.49164152
ANN1349	ANN_55	61	20.09032069
ANN1350	ANN_55	52	28.16041619
ANN1351	ANN_56	61	17.90250618
ANN1352	ANN_56	61	22.63862006
ANN1353	ANN_56	62	25.49336014
ANN1354	ANN_56	64	47.63839224
ANN1355	ANN_56	68	19.67666975
ANN1356	ANN_56	61	19.87641075
ANN1357	ANN_56	64	18.65986108
ANN1358	ANN_56	67	17.99983434
ANN1359	ANN_56	50	19.70458381
ANN1360	ANN_56	34	16.16218042
ANN1361	ANN_57	52	27.74542679
ANN1362	ANN_57	58	23.63940389
ANN1363	ANN_57	48	23.68004886
ANN1364	ANN_57	51	25.45240155
ANN1365	ANN_57	51	34.02185655
ANN1366	ANN_57	57	33.34582319
ANN1367	ANN_57	61	42.57063886
ANN1368	ANN_57	56	30.50660323
ANN1369	ANN_57	51	28.76607396
ANN1370	ANN_57	58	22.77540397
ANN1371	ANN_58	51	24.53213238
ANN1372	ANN_58	54	24.77465906
ANN1373	ANN_58	52	26.00289023
ANN1374	ANN_58	56	30.52570413
ANN1375	ANN_58	62	22.64872433
ANN1376	ANN_58	51	30.0887663
ANN1377	ANN_58	51	28.31657597
ANN1378	ANN_58	51	26.36971046
ANN1379	ANN_58	49	27.68965414
ANN1380	ANN_58	54	19.5495634
ANN1381	ANN_59	58	30.96258599
ANN1382	ANN_59	53	42.87326795
ANN1383	ANN_59	47	26.70321523
ANN1384	ANN_59	47	27.30792012
ANN1385	ANN_59	48	28.16290974
ANN1386	ANN_59	52	33.57724989
ANN1387	ANN_59	49	27.32801965
ANN1388	ANN_59	55	27.98750586
ANN1389	ANN_59	51	24.04587867
ANN1390	ANN_59	51	23.41065623
ANN1391	ANN_60	48	17.47221598
ANN1392	ANN_60	44	18.33785
ANN1393	ANN_60	44	20.49606525
ANN1394	ANN_60	45	23.73155872
ANN1395	ANN_60	46	39.15592982
ANN1396	ANN_60	50	30.2396198
ANN1397	ANN_60	41	48.46718983
ANN1398	ANN_60	50	26.06208628
ANN1399	ANN_60	44	23.18389326
ANN1400	ANN_60	43	20.74209721
ANN1401	ANN_61	61	24.57575273
ANN1402	ANN_61	51	25.40876802
ANN1403	ANN_61	51	23.26254124
ANN1404	ANN_61	47	23.35169955
ANN1405	ANN_61	54	21.21994184
ANN1406	ANN_61	47	25.7070343
ANN1407	ANN_61	57	20.78976156
ANN1408	ANN_61	54	12.34427996
ANN1409	ANN_61	52	28.63626494
